test,target,ct,tipo
3CG128,PTK2,38.25,Muestra
3CG128,PTP4A1,44.86,Muestra
3CG128,RAC1,37.57,Muestra
3CG128,RGS2,34.38,Muestra
3CG128,SERPINE1,35.87,Muestra
3CG128,SIP1,37.71,Muestra
3CG128,SMAD2,36.23,Muestra
3CG128,SNAI1,38.26,Muestra
3CG128,SNAI2,37.97,Muestra
3CG128,SNAI3,36.46,Muestra
3CG128,SOX10,31.88,Muestra
3CG128,SPARC,40.52,Muestra
3CG128,SPP1,32.38,Muestra
3CG128,STAT3,37.64,Muestra
3CG128,STEAP1,44.93,Muestra
3CG128,TCF3,38.36,Muestra
3CG128,TCF4,37.09,Muestra
3CG128,TFPI2,32.41,Muestra
3CG128,TGFB1,41.54,Muestra
3CG128,TGFB2,35.42,Muestra
3CG128,TGFB3,39.72,Muestra
3CG128,TIMP1,36.47,Muestra
3CG128,TMEFF1,32.8,Muestra
3CG128,TMEM132A,33.3,Muestra
3CG128,TSPAN13,32.95,Muestra
3CG128,TWIST1,30.46,Muestra
3CG128,VCAN,43.87,Muestra
3CG128,VIM,44.93,Muestra
3CG128,VPS13A,36.6,Muestra
3CG128,WNT11,40.33,Muestra
3CG128,WNT5A,35.31,Muestra
3CG128,WNT5B,32.19,Muestra
3CG128,ZEB1,34.16,Muestra
3CG128,ZEB2,38.23,Muestra
3CG128,ACTB,33.93,Muestra
3CG128,B2M,33.44,Muestra
3CG128,GAPDH,42.91,Muestra
3CG128,HPRT1,37.53,Muestra
3CG128,RPLP0,36.43,Muestra
3CG128,HGDC,44.93,Muestra
3CG046,AKT1,28.88,Muestra
3CG046,BMP1,33.1,Muestra
3CG046,BMP2,33.36,Muestra
3CG046,BMP7,38.57,Muestra
3CG046,CALD1,36.73,Muestra
3CG046,CAMK2N1,38.97,Muestra
3CG046,CAV2,44.93,Muestra
3CG046,CDH1,32.35,Muestra
3CG046,CDH2,39.77,Muestra
3CG046,COL1A2,32.84,Muestra
3CG046,COL3A1,40.72,Muestra
3CG046,COL5A2,32.87,Muestra
3CG046,CTNNB1,37.73,Muestra
3CG046,DSC2,35.64,Muestra
3CG046,DSP,36.37,Muestra
3CG046,EGFR,34.33,Muestra
3CG046,ERBB3,34.26,Muestra
3CG046,ESR1,39.4,Muestra
3CG046,F11R,32.58,Muestra
3CG046,FGFBP1,44.93,Muestra
3CG046,FN1,41.45,Muestra
3CG046,FOXC2,33.33,Muestra
3CG046,FZD7,34.55,Muestra
3CG046,GNG11,37.59,Muestra
3CG046,GSC,40.62,Muestra
3CG046,GSK3B,37.51,Muestra
3CG046,IGFBP4,37.51,Muestra
3CG046,IL1RN,33.28,Muestra
3CG046,ILK,44.93,Muestra
3CG046,ITGA5,30.54,Muestra
3CG046,ITGAV,37.76,Muestra
3CG046,ITGB1,43.0,Muestra
3CG046,JAG1,40.76,Muestra
3CG046,KRT14,33.55,Muestra
3CG046,KRT19,32.35,Muestra
3CG046,KRT7,40.86,Muestra
3CG046,MAP1B,31.91,Muestra
3CG046,MMP2,40.33,Muestra
3CG046,MMP3,34.56,Muestra
3CG046,MMP9,41.63,Muestra
3CG046,MSN,32.6,Muestra
3CG046,MST1R,28.27,Muestra
3CG046,NODAL,36.17,Muestra
3CG046,NOTCH1,43.95,Muestra
3CG046,NUDT13,36.44,Muestra
3CG046,OCLN,31.31,Muestra
3CG046,PDGFRB,34.99,Muestra
3CG046,PLEK2,36.92,Muestra
3CG046,PPPDE2,36.18,Muestra
3CG046,PTK2,38.75,Muestra
3CG046,PTP4A1,44.77,Muestra
3CG046,RAC1,35.66,Muestra
3CG046,RGS2,34.18,Muestra
3CG046,SERPINE1,38.61,Muestra
3CG046,SIP1,37.09,Muestra
3CG046,SMAD2,37.04,Muestra
3CG046,SNAI1,37.81,Muestra
3CG046,SNAI2,36.5,Muestra
3CG046,SNAI3,35.95,Muestra
3CG046,SOX10,31.33,Muestra
3CG046,SPARC,39.5,Muestra
3CG046,SPP1,32.25,Muestra
3CG046,STAT3,37.42,Muestra
3CG046,STEAP1,44.93,Muestra
3CG046,TCF3,37.99,Muestra
3CG046,TCF4,38.72,Muestra
3CG046,TFPI2,35.1,Muestra
3CG046,TGFB1,41.19,Muestra
3CG046,TGFB2,35.27,Muestra
3CG046,TGFB3,35.49,Muestra
3CG046,TIMP1,34.73,Muestra
3CG046,TMEFF1,35.19,Muestra
3CG046,TMEM132A,33.79,Muestra
3CG046,TSPAN13,32.98,Muestra
3CG046,TWIST1,31.65,Muestra
3CG046,VCAN,37.17,Muestra
3CG046,VIM,44.93,Muestra
3CG046,VPS13A,37.37,Muestra
3CG046,WNT11,42.12,Muestra
3CG046,WNT5A,36.97,Muestra
3CG046,WNT5B,31.9,Muestra
3CG046,ZEB1,34.84,Muestra
3CG046,ZEB2,41.18,Muestra
3CG046,ACTB,43.39,Muestra
3CG046,B2M,29.43,Muestra
3CG046,GAPDH,44.93,Muestra
3CG046,HPRT1,40.22,Muestra
3CG046,RPLP0,33.21,Muestra
3CG046,HGDC,42.36,Muestra
